//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks    DropInventory	
"Battle Royale"		 1000	   100		  1		  0		    0		   0            0
end

1
//=====================================================================================================================================================================================================================
// SWORDS & CLAWS
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
6           10     6          15         1       1      4        1            // Large Round Shield       
6           11     6          15         1       1      4        1            // Serpent Shield
6           12     6          15         1       1      4        1            // Bronze Shield
6           13     6          15         1       1      4        1            // Dragon Shield
6           14     6          15         1       1      4        1            // Legendary Shield
6           15     6          15         1       1      4        1            // Grand Soul Shield
6           16     6          15         1       1      4        1            // Elemental Shield

6           10     6          15         0       1      4        0            // Large Round Shield       
6           11     6          15         0       1      4        0            // Serpent Shield
6           12     6          15         0       1      4        0            // Bronze Shield
6           13     6          15         0       1      4        0            // Dragon Shield
6           14     6          15         0       1      4        0            // Legendary Shield
6           15     6          15         0       1      4        0            // Grand Soul Shield
6           16     6          15         0       1      4        0            // Elemental Shield

//=====================================================================================================================================================================================================================
// WINGS & CAPE
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
12          0      6          15         0       1      4        1            // Wings of Elf
12          1      6          15         0       1      4        1            // Wings of Heaven
12          2      6          15         0       1      4        1            // Wings of Satan
12          3      6          15         0       1      4        1            // Wings of Spirit
12          4      6          15         0       1      4        1            // Wings of Soul
12          5      6          15         0       1      4        1            // Wings of Dragon
12          6      6          15         0       1      4        1            // Wings of Darkness
12          41     6          15         0       1      4        1            // Wing of Curse
12          42     6          15         0       1      4        1            // Wind of Despair
12          49     6          15         0       1      4        1            // Cape of Fighter
13          30     6          15         0       1      4        1            // Cape of Lord

//=====================================================================================================================================================================================================================
// PET
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
13          0      0          0          0       0      0        0            // Guardian Angel
13          1      0          0          0       0      0        0            // Satan
13          64     0          0          0       0      0        0            // Demon
13          65     0          0          0       0      0        0            // Spirit of Guardian

//=====================================================================================================================================================================================================================
// SKILLS
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
12          7      0          0          0       0      0        0            // Twisting Slash
12          8      0          0          0       0      0        0            // Healing Orb
12          9      0          0          0       0      0        0            // Greater Defense
12          10     0          0          0       0      0        0            // Greater Damage
12          13     0          0          0       0      0        0            // Rageful Blow
12          13     0          0          0       0      0        0            // Impale
12          14     0          0          0       0      0        0            // Greater Foritude
12          16     0          0          0       0      0        0            // Fire Slash
12          17     0          0          0       0      0        0            // Penetration
12          18     0          0          0       0      0        0            // Ice Arrow
12          19     0          0          0       0      0        0            // Death Stab
12          20     0          0          0       0      0        0            // FireBurst
12          23     0          0          0       0      0        0            // Critical Damage
12          35     0          0          0       0      0        0            // Fire Scream
12          7      0          0          0       0      0        0            // Twisting Slash
12          8      0          0          0       0      0        0            // Healing Orb
12          9      0          0          0       0      0        0            // Greater Defense
12          10     0          0          0       0      0        0            // Greater Damage
12          13     0          0          0       0      0        0            // Rageful Blow
12          13     0          0          0       0      0        0            // Impale
12          14     0          0          0       0      0        0            // Greater Foritude
12          16     0          0          0       0      0        0            // Fire Slash
12          17     0          0          0       0      0        0            // Penetration
12          18     0          0          0       0      0        0            // Ice Arrow
12          19     0          0          0       0      0        0            // Death Stab
12          20     0          0          0       0      0        0            // FireBurst
12          23     0          0          0       0      0        0            // Critical Damage
12          35     0          0          0       0      0        0            // Fire Scream
15          0      0          0          0       0      0        0            // Scroll of Poison
15          1      0          0          0       0      0        0            // Scroll of Meteorite
15          2      0          0          0       0      0        0            // Scroll of Lightning
15          3      0          0          0       0      0        0            // Scroll of Fire Ball
15          4      0          0          0       0      0        0            // Scroll of Flame
15          5      0          0          0       0      0        0            // Scroll of Teleport
15          6      0          0          0       0      0        0            // Scroll of Ice
15          7      0          0          0       0      0        0            // Scroll of Twister
15          8      0          0          0       0      0        0            // Scroll of Evil Spirit
15          9      0          0          0       0      0        0            // Scroll of Hellfire
15          10     0          0          0       0      0        0            // Scroll of Pòwer Wave
15          11     0          0          0       0      0        0            // Scroll of Aqua Beam
15          12     0          0          0       0      0        0            // Scroll of Comefall
15          13     0          0          0       0      0        0            // Scroll of Inferno
15          15     0          0          0       0      0        0            // Scroll of Soul Barrier
15          16     0          0          0       0      0        0            // Scroll of Decay
15          17     0          0          0       0      0        0            // Scroll of Ice Storm
15          19     0          0          0       0      0        0            // Chain Lightning Parchment
15          20     0          0          0       0      0        0            // Drain Life Parchment
15          21     0          0          0       0      0        0            // Lightning Shock Parchment
15          22     0          0          0       0      0        0            // Damage Reflection Parchment
15          23     0          0          0       0      0        0            // Berserker Parchment
15          24     0          0          0       0      0        0            // Sleep Parchment
15          26     0          0          0       0      0        0            // Weakness Parchment
15          27     0          0          0       0      0        0            // Innovation Parchment
15          28     0          0          0       0      0        0            // Scroll of Wizardry Enhance
15          29     0          0          0       0      0        0            // Scroll of Gigantic Storm
15          30     0          0          0       0      0        0            // Chain Driver Parchment
15          31     0          0          0       0      0        0            // Dark Side Parchment
15          32     0          0          0       0      0        0            // Dragon Lore Parchment
15          33     0          0          0       0      0        0            // Dragon Slayer Parchment
15          34     0          0          0       0      0        0            // Red Armor Ignore Parchment
15          35     0          0          0       0      0        0            // Fitness Parchment
15          36     0          0          0       0      0        0            // Defense Rate Parchment

//=====================================================================================================================================================================================================================
// POTIONS
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
14          1      0          0          0       0      0        0            // Small Healing Potion
14          1      0          0          0       0      0        0            // Small Healing Potion
14          1      0          0          0       0      0        0            // Small Healing Potion
14          2      0          0          0       0      0        0            // Healing Potion
14          2      0          0          0       0      0        0            // Healing Potion
14          2      0          0          0       0      0        0            // Healing Potion
14          3      0          0          0       0      0        0            // Large Healing Potion
14          3      0          0          0       0      0        0            // Large Healing Potion
14          3      0          0          0       0      0        0            // Large Healing Potion
14          4      0          0          0       0      0        0            // Small Mana Potion
14          4      0          0          0       0      0        0            // Small Mana Potion
14          4      0          0          0       0      0        0            // Small Mana Potion
14          5      0          0          0       0      0        0            // Mana Potion
14          5      0          0          0       0      0        0            // Mana Potion
14          5      0          0          0       0      0        0            // Mana Potion
14          6      0          0          0       0      0        0            // Large Mana Potion
14          6      0          0          0       0      0        0            // Large Mana Potion
14          6      0          0          0       0      0        0            // Large Mana Potion
end
