//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	CommandHelper	CommandOffPvP	PkDropItem	AllowTrade	AccountLevel	DeathGate   	Comment
0         *       12          100              100            1000              0                 0                1              0             1            	1		1		1		1		1		1		0		17		"Lorencia"
1         *       12          100              100            1000              0                 0                1              0             1            	1		1		1		1		1		1		0		17		"Dungeon"
56        *       12          100              100            1000              0                 0                1              0           	1            	1		1		1		1		1		1		0		273		"Swamp of Calmness"
57        *       12          100              100            1000              0                 1                1              0            	1            	1		1		1		1		1		1		0		286		"Raklion 1"
58        *       12          100              100            1000              0                 1                1              0            	1            	1		1		1		1		1		1		0		286		"Raklion 2"
62        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		22		"Santa Town"
63        *       12          100              100            1000              0                 0                1              1            	1            	1		1		1		1		1		1		0		294		"Vulcanus"
64        *       12          100              100            1000              0                 0                0              0            	0            	0		0		1		1		0		1		0		294		"Duel Arena"
65        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		267		"Double Goer 1"
66        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		267		"Double Goer 2"
67        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		267		"Double Goer 3"
68        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		267		"Double Goer 4"
69        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		22		"Imperial Guardian 1"
70        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		22		"Imperial Guardian 2"
71        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		22		"Imperial Guardian 3"
72        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		22		"Imperial Guardian 4"
79        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		333		"Loren Market"
80        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		335		"Karutan 1"
81        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		335		"Karutan 2"
82        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		600		"Event"                  //Arkania.ozt
83        *       12          115              100            1000              0                 0                1              0           	1            	0		1		1		1		1		1		0		601		"Swamp of Darkness"      //Arena.ozt
84        *       12          110              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		602		"Nixies Lake"            //Abuss.ozt
85        *       12          110              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		603		"Ferea"                  //Dunes.ozt
86        *       12          104              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		604		"Nars"                   //Acheron.ozt
87        *       12          115              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		605		"Kubera Mine"            //Kalimdor.ozt
88        *       12          105              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		606		"Uruk Mountain"          //New Map 1.ozt
89        *       12          101              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		607		"Acheron"                //New Map 2.ozt
90        *       12          102              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		607		"Debenter"               //New Map 3.ozt
91        *       12          115              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		609		"Deep Dungeon"           //New Map 4.ozt
92        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		610		"Acheron Event"          //New Map 6.ozt
93        *       12          117              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		611		"Atlans Abyss"           //New Map 7.ozt
94        *       12          120              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		612		"Scotch Canyon"          //New Map 8.ozt
95        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		613		"New Map 9"
96        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		614		"New Map 10"
97        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		615		"New Map 11"
98        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		0		600		"Event Pvp Championship" //New Map 12.ozt
end
