//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
//Index   Message
341       "Nightmare apareció! Derrotelo para liberar la Torre de Refinamento"
342       "Nightmare fué derrotado! la Torre de Refinamento fué liberada"
343       "el tiempo ha terminado, se quita el evento"
352       "Castle Deep comenzará en 5 minuto(s)"
353       "Castle Deep comezó"
354       "Castle Deep terminó"
355       "El Erohim fue asesinado por el jugador %s"
356       "%s fue asesinado por el jugador %s"
368       "Balgass ensambló fuerzas con la armada del Kundun y se está preparando para atacar la fortaleza de Crywolf"
369       "La armada de Balgass está lista para atacar la fortaleza de Crywolf"
370       "La armada de Balgass está marchando hacia la fortaleza de Crywolf"
371       "La armada de Balgass está aproximando hacia la fortaleza de Crywolf"
372       "Ninguna Elfa se conectó a los altares, dejando la estatua del lobo desprotegida"
373       "Balgass estará vivo hasta el final de la batalla"
374       "¡La defensa falló! La estatua del lobo sagrado fue tomada por Balgass"
375       "¡La defensa ha tenido éxito! La estatua del lobo sagrado fue protegida"
376       "El período de conexión con los Altares del Lobo comenzará en %d segundo(s)"
377       "El período de conexión con los Altares del Lobo comenzará en %d minuto(s)"
378       "La armada de Balgass atacará en %d segundos(s)"
379       "La armada de Balgass atacará en %d minutos(s)"
380       "Sin la protección de las Elfas la estatua del lobo sagrado quedó desprotegida"
381       "¡Balgass está llegando! Protegen la estatua del lobo sagrado "
382       "La armada de Balgass comenzó a atacar la estatua del lobo sagrado"
383       "La armada de Balgass fue derrotada con la ayuda de los heroes!"
384       "MvP Rank: %d"
385       "MvP Experiencia: %d"
386       "Balgass fue asesinado por %s!"
387       "Balgass fue asesinado!"
388       "Dark Elf %d fue asesinada por %s!"
389       "MvP Point: %d"
390       "Conectado al altar %d"
391       "%s se conectó al altar %d"
392       "El altar %d fue conectado"
393       "El período de conexión al pedestal %d no comenzó todavía"
394       "El altar %d ya se ha conectado más de 2 veces"
395       "La posición para conectarse al altar %d es incorrecta" 
396       "%s está tratando de conectarse al altar %d"
397       "Usted será conectado al altar en 5 segundo(s)" 
398       "No se mueva hasta que la conexión esté completa"  
399       "La conexión con el altar %d fue cancelada"
400       "La barrera de la estatua del lobo sagrado desapareció" 
401       "Número de conexiones: %d, Vida de la estatua: %d" 
402       "La barrera de la estatua del lobo sagrado fue creada"
403       "La conexión requiere una Elfa level 260 o superior"
416       "Castle Siege terminó"
417       "El período de registro del Castle Siege comezó"
418       "El período de registro de las emblemas del Castle Siege comenzó"
419       "El período de la seleción de los clanes del Castle Siege comenzó"		
420       "La selección de los clanes de Castle Siege ha finalizado"
421       "El período de preparación para Castle Siege comenzó"
422       "Castle Siege comenzará en %d minuto(s)"
423       "Castle Siege se está disputando"
424       "El clan %s fue exitoso en defender el castillo"
425       "El clan %s se convirtió en el nuevo dueño del castillo"
426       "El dueño del castillo no fue definido"
427       "Sólo la Estatua del Guardián faltó"
432       "La posición del jugador %s se ha cambiado a Asistente del líder del clan"
433       "La posición del jugador %s se ha cambiado a Maestro de Batalla"
434       "La posición del jugador %s se ha cambiado a Miembro del clan"
435       "El tipo de clan %s fue alterado para %d"
436       "El clan entró en alianza %s"
437       "El clan ahora es enemigo del gremio %s"
438       "El clan %s entró en la alianza %s"
439       "El clan se retiró de la alianza"
440       "El clan %s se retiró de la alianza %s"
441       "El clan no es más de la alianza %s"
442       "El clan no es más enemigo del clan %s"
443       "La alianza %s fue disuelta"
448       "No puedes invocar la Life Stone fuera del castillo Siege"
449       "Sólo la alianza ofensiva puede invocar la Life Stone"
450       "Life stone fue invocada"
451       "No puedes invocar la Life Stone dentro de la Torre del Dragón"
452       "Life Stone fue invocada con éxito"
453       "Life Stone no se puede invocar"
464       "Usted no puede invocar al soldado fuera del Castle Siege"
465       "Sólo la alianza defensiva puede invocar al soldado"
466       "Sólo el líder del clan y su asistente pueden invocar al soldado"
467       "Se ha superado el número máximo de soldados"
468       "El soldado fue invocado con éxito"
469       "El soldado falló en ser invocado"
480       "El servidor se cerró"
481       "El servidor se cerrará automaticamente en %d segundo(s)"
482       "Este es un ítem duplicado, pongase en contacto con el administrador"
483       "Su bloqueo de chat se terminó"
484       "Saldrá del juego en %d segundo(s)"
485       "Autodefensa contra %s inició"
486       "Autodefensa contra %s terminó"
487       "El servidor se apagará automáticamente en 1 minuto(s)"
488       "El servidor se apagará automáticamente en 3 minuto(s)"
489       "El servidor se apagará automáticamente en 5 minuto(s)"
490       "La partida comenzará automáticamente en 10 segundo(s)"
491       "%s ganó %d Jewel of Bless" 
492	   "%s mató al Fenix"	
493       "Usted ganó %d punto(s) de evento y %d Golds"
494       "%s mató un golden"
495       "Usted ganó %d punto(s) de evento y %d Golds"
496       "%s mató a Erohin"
497       "Usted ganó %d ponto(s) de evento y %d Golds"
498       " "
499       "Remueva los Errtels antes de colocar"

500	  "[Arka War] El evento ha comenzado. Puedes entrar hablando con Sir Lesnar"
501	  "[Arka War] Evento terminó"
502       "[Arka War] Comienza en %d minuto(s)"
503       "[Arka War] El clan [%s] tomó el Torre!"
504       "[Arka War] Comienza en %d"
505       " "
506       "[Arka War] ¡Usted no es miembro de un clan!"
507       "[Arka War] ¡Su clan ya es dueño del Torre!"
508       "[Arka War] Utilice el comando /control en la coordenada 189 101!"
509       "[Arka War] Su clan debe tener por lo menos %d miembros!"
510       "[Arka War] ¡Felicitaciones! ¡Su clan ahora es dueño del Torre!"
511       "[Arka War] %d minuto(s) para terminar"

512 	  " "
513 	  "¡Inventario limpio con éxito!"
514       "Protect Lorencia!"
515       "%s mató a %s"
516       "%s mató a %s"
517       ""
518       "Usted no tiene permiso para utilizar el comando /setvip"
519       "Vip adquirido con éxito!"
520       "Esa cuenta no existe!!"
521       "%s Usted no necesita más de mi ayuda"
522       "%s Su plan vip no permite el uso de este buff"
523       "%s Zen necesario: %d"
524       "%s PCPoints necesarios: %d"
525       "%s Usted necesita estar en la familia Vanert"
526       "%s Usted necesita estar en la familia Duprian"
527       "%s Usted necesita estar en la familia Duprian"
528       "%s Usted necesita estar en la familia Vanert"
529       "%s Puntos necesarios de la familia: %d"
530       "%s Tiempo: %d Minutos(s)"
531       "%s Removido %d Zen"
532       "%s Removido %d PCPoint(s)"
533       "%s Buff Aplicado!"

602 	  "Usted no puede casarse!"
603 	  "Te acabaste de casar con %s!"
604 	  "¡Ya estás casado! Sin verguenza!"
605 	  "¡El otro personaje ya está casado!"
606 	  "Uso: [/marry name | /marry divorce | /marry track or trace]!"
607 	  "Usted no puede divorciarse en la primera semana de estar casado!"
608 	  "Acabas de divorciarte"
609 	  "¡No estás casado!"
610 	  "¡Has rastreado!"
611 	  "¡Trazaste!"
612 	  "%s recién casados %s!"
613 	  "%s divorciados %s!"
614 	  "[Casados] Felicitaciones,"
615 	  "Entre %s y %s!"
616 	  "[Casados] No se permiten Homosexuales"
617 	  "Necesitas al menos %d level para usar este comando"
618 	  "El/Ella necesita al menos %d level para usar este comando!"
619 	  "Casados ha sido deshabilitado!"
620 	  "Necesitas al menos %d de zen para usar este comando!"
621 	  "Usted necesita estar en la posición correcta en Devias2!"
622 	  "¡Su objetivo necesita estar en la posición correcta en Devias2!"
623 	  "Info: [Minimo Level : %d | Track&Trace Costo : %d zen]!"
624 	  "¡No puede divorciarse mientras está desconectado!"
625 	  "El otro personaje está desconectado!"
626 	  "Skin %d aplicado a %d players!"
627 	  " "
628 	  " "
629 	  " "
630	      "Usted necesita tener nivel %d para usar este comando!" 
631	      "Permitido utilizar sólo dentro de la ciudad!"
632	      "Usted y su oponente deben estar en el nivel %d para hacer un duelo!"
633	      "Comando no habilitado para su cuenta!" 
634 	  "Comando: [/classe dw, dk, elf, mg, dl, su]"
635	      "Usted debe elegir una clase diferente de la suya!" 
636	      "Usted debe quitar los items del personaje primero!" 
637	      "¡Clase no disponible!"
638	      "Resets necesarios: %d!"
639	      "[GameMaster] %s está Online!"
640	      "%s está Online!"
641       "Usted no tiene permiso para utilizarlo!"
642       "Personaje no encontrado!"
643 	  "Comando: [/premiar CHAR TIPO VALOR]"
644	      "¡Tipo de premio no disponible!"
645	      "¡el valor del premio es mayor que el permitido!"
646	      "¡Premio añadido con éxito!"
647	      "Usted no puede premiarse a si mismo!"
648 	  "Comando: [/reload tipo | Ex: /reload common]"
649 	  "Reload ejecutado con éxito!"
650 	  "Comando: [/premiarall TIPO VALOR]"
651 	  "El nombre debe tener un máximo de 10 letras"
652 	  "Ese nombre no existe"
653       "Aguarde %d segundos para utilizar nuevamente"
654       "Ese nombre no existe"
655       "Nombre cambiado con éxito!"
656       "Nombre no cambiado!"
657       "El personaje %s cambió el nombre para %s!"
658       "Usted debe salir del clan para cambiar de nombre"
659       "Usted no puede utilizarlo ahora"
660	      "[VELOZ] Comienza en %s!"
661	      "[VELOZ] El evento termina en %d minuto(s)!"
662	      "[VELOZ] El evento termina en %d segundo(s)!"
663	      "[VELOZ] Ganador %s!"
664	      "[VELOZ] Fin del evento - ¡No tuvo ganador!"
665 	  "[VELOZ] Corra para las cordenadas x%d y%d"
666	      "[VELOZ] Fin del evento - Evento cancelado!"
667       "Personaje no encontrado u offline"
668       "Cuenta baneada con éxito!"
669       "Personaje baneado con éxito!"
670	      "[EVENTO] Cierra en %d segundo(s)"
671	      "[EVENTO] El tiempo para participar se acabó!"
672	      "[EVENTO] Cancelado!"
673	      "[EVENTO] %s inició un evento"
674	      "[EVENTO] Escriba /participar para entrar!"
675	      "[EVENTO] Participante %s adicionado!"
676	      "[ESCESC] Acaba en %d segundo(s)"
677	      "[ESCESC] Acabó sin vencedor!"
678	      "[ESCESC] Cancelado!"
679	      "[ESCESC] %s inició el evento!"
680	      "[ESCESC] ¡Busque al GM y de trade!"
681	      "[ESCESC] %s venció en el evento!"
682	      "[ESCESC] El evento termina en %d minuto(s)!"
683	      "[PEGAPEGA] Cerró!"
684	      "[PEGAPEGA] Evento iniciado Se rechaza!"
685	      "[PEGAPEGA] Tiempo agotado!!"
686	      "[PEGAPEGA] Cancelado!"
687	      "[PEGAPEGA] Abrió"
688	      "[PEGAPEGA] Digite /queroir para participar!"
689	      "[PEGAPEGA] Participante %s adicionado!"
690	      "[PEGAPEGA] %s venció en el evento!"
691	      "[PEGAPEGA] %s ha sido atrapado!"
692	      "[QUEST] Usted necesita estar en nivel %d o más!"
693	      "[QUEST] Necesita tener %d Reset(s) o más!!"
694	      "[QUEST] Necesita tener %d Master Reset(s) o más!"
695	      "[QUEST] Necesita tener  %d zen o más!"
696	      "[QUEST] debe ir para %s (x%d,y%d)!"
697	      "[QUEST] Usted no tiene el plan vip necesario!"
698	      "[ ! ] Item necesario: %s!"
699	      "[QUEST] debe matar %d %s (Faltan: %d)!"
700	      "[QUEST] Felicitaciones, ¡usted concluyó las misiones!"
701	      "[QUEST] Completo! Usted ganó: %d WC, %d HP, %d GP(Ruud)!"
702	      "Enhorabuena has recibido un regalo!"
703	      "¡Usted ha recibido todos sus regalos!"
704	      "[RoletaRussa] Cerró"
705	      "[RoletaRussa] Evento iniciado!"
706	      "[RoletaRussa] Tiempo agotado!"
707	      "[RoletaRussa] Cancelado!"
708	      "[RoletaRussa] Abrió (Max Participantes: %d)!"
709	      "[RoletaRussa] Digite /queroir para participar!"
710	      "[RoletaRussa] Participante %d: %s adicionado!"
711	      "[RoletaRussa] %s venció en el evento!"
712	      "[RoletaRussa] ¡Colocando la bola en la ruleta!"
713	      "[RoletaRussa] Girando la ruleta!"
714	      "[RoletaRussa] Engatillado!"
715	      "[RoletaRussa] FUEGO!"
716	      "[RoletaRussa] HeadShot %s fue eliminado!"
717	      "[RoletaRussa] %s ¡escapó ileso!"

718       "[Arka War] Entrega de los premios"
719       "[Arka War] El clan [%s] venció en el evento"
720       "[Arka War] Tiempo: %d minuto(s)"
721       "[Arka War] Todos los miembros del clan en línea ganaron:"
722       "[Arka War] [1000]  GP(Ruud)s"
723       "[Arka War] Personajes que mas conquistaron:"
724       "[Arka War] %d°: [%s] (Clan: %s)!"
725       "[Arka War] Ganaron [500] GP(Ruud)s cada"
726       "[Arka War] No tiene vencedor"

730	  "Adicionado(s) %d WC en su cuenta!"
731	  "Adicionado(s) %d HP en su cuenta!"
732	  "Adicionado(s) %d GP(Ruud) en su cuenta!"
733 	  "Comando: [/top tipo classe | Ex: /top rr dk]"
734 	  "Comando: [Classe: dk,dw,fe,mg,dl,su]"
735 	  "Sin resultados!"
736 	  "%d° Colocado: %s (%d)"
737 	  "Puntos redistribuidos"
738  	  "%s alcanzó la patente %s!"
739  	  "Usted alcanzó la patente %s!"
740       "Fui desactivado =("
741	      "Traeme 64 Satanes o Angeles y te daré 50GP(Ruud)!"
742       "Muchas gracias, ya tomé los artículos y entregué su premio"
743       "Lo siento, no tengo interés en estos items"
744	      "¡Usted cambió sus items por premios!"
745	      "[%s] Comienza en %d minuto(s)!"
746	      "[%s] Pregunta: (Use /r para responder)"
747	      "[%s] %s"
748	      "[%s] %s venció el evento!"
749	      "[%s] No hubo ganador!"
750	      "[%s] Respuesta Errada!"
751           "[%s] Ganó 50 GP(Ruud)s"
752	      "[PickUp %s] Habilitado!"
753	      "[PickUp %s] Deshabilitado!"
754	      "[PickUp] Deshabilitado!"
755	      "[ReMaster] MasterSkillTree resetada!"
756	      "[ReMaster] MasterSkillTree error al resetear!"
757	      "[BuyVip] Usted no tiene el dinero necesario para comprar!"
758	      "[BuyVip] Enhorabuena usted ha firmado el %s!"
759	      "[BuyVip] El plan elegido es inferior a su plan actual!"
760	      "Descontado %d WC de su cuenta!"
761	      "Descontado %d HP de su cuenta!"
762	      "Descontado %d GP(Ruud) de su cuenta!"
763	      "Usted no puede usar el custom attack con MuHelper activo!"
764	      "Usted no puede usar MuHelper con custom attack activo!"
765	      "No puede utilizar encima del nivel: %d"
766	      "Valor para usar: %d WC!"
767	      "Valor para usar: %d HP!"
768	      "Valor para usar: %d GP(Ruud)!"
769	      "Equipo Alianza venció el evento!"
770	      "Equipo Phanton ganó el evento!"
771	      "[OffPvp] Activado"
772	      "[OffPvp] Desactivado"
773	      "[Lock] Activado - Items bloqueados!"
774	      "[Lock] La contraseña debe contener un máximo de 8 caracteres!"
775	      "[Lock] Ya está activado, utilice /unlock para desbloquear!"
776	      "[Lock] Desactivado!"
777	      "[Lock] Contraseña inválida!"
778	      "[Lock] Acción bloqueada por contraseña!"
779	      "Usted puede activar el comando solamente en una zona safe"
780	      "Personal Shop está vacio o los items no tienen precio"
781	      "Atención!! Todos los items de esta tienda se venden por Jewel of Bless"
782	      "Atención!! Todos los items de esta tienda se venden por Jewel of Soul"
783	      "Atención!! Todos los items de esta tienda se venden por Jewel of Chaos"
784	      "Atención!! Todos los items de esta tienda se venden por WCoinC"
785	      "Atención!! Todos los items de esta tienda se venden por Hunt Point"
786	      "Atención!! Todos los items de esta tienda se venden por Goblin(Ruud) Point"
787	      "Antes debes abrir tu tienda personal"
788	      "El comando se ejecutará durante %d minuto(s)"
789	      "El tiempo de uso del /store terminó"
790	      "[Attack] Desactivado"
791	      "[Attack] Usted no puede utilizarlo/a en ese sitio"
792	      "[Attack] Usted no tiene la habilidad necesaria para usarlo/a"
793	      "[Attack] Tiempo de uso: %d minuto(s)"
794	      "[Attack] Tiempo agotado"
795	      "[Attack] Activado"
796	      "[OffAttack] Usted debe activar el /attack antes"
797	      "[OffAttack] Usted no puede utilizarlo/a en ese sitio"
798	      "Esa Guild no existe!"
799	      "[PvP] Tiempo agotado!"
800	      "[PvP] Cancelado!"
801	      "[PvP] %s x %s iniciado!"
802	      "[PvP] %s %d x %d %s!"
803	      "[PvP] %s venció el evento!"
804	      "[PvP] Iniciado!"
805	      "[MataMata] Cerrado!"
806	      "[MataMata] Evento iniciado!"
807	      "[MataMata] Tiempo agotado!"
808	      "[MataMata] Cancelado!"
809	      "[MataMata] Abierto (Max Participantes: %d)!"
810	      "[MataMata] Digite /queroir para participar!"
811	      "[MataMata] Player %d: %s adicionado!"
812	      "[MataMata] 1º - %s (%d puntos)!"
813	      "[MataMata] 2º - %s (%d puntos)!"
814	      "[MataMata] 3º - %s (%d puntos)!"
815	      "[MataMata] Su posición: %dº (%d puntos)!"
816	      "[MataMata] Score: %d puntos!"
817	      "El nuevo nombre contiene texto no permitido!"
818       "Necesario: %d master reset(s)"
819       "No permitido con %d master o +"
820       "Comando: [/pack (soul,bless,etc) (10,20,30)]"
821       "Comando: [/unpack (soul,bless,etc) (10,20,30)]"
822       "Usted no tiene el o los item(s) necesario(s)"
823       "Comando completado con éxito"
824       "Usted no tiene espacio en el inventario"
825       "[TvT Event] se cierra en %d minuto(s)"
826       "Entrada para el Evento Team vs Team"
827       "[TvT Event] cerrado!"
828       "[TvT Event] comienza en %d minuto(s)"
829       "[TvT Event] comenzó!"
830       "[TvT Event] acabó!"
831       "[TvT Event] Usted no puede entrar!"
832       "[TvT Event] No está abierto!"
833       "[TvT Event] Usted no tiene el item necesario para entrar!"
834	      "Usted no tiene el dinero necesario para comprar!"
835	      "No permitido en Trade!"
836	      "Descontado %d Zen por usar el comando!"
837	      "Valor para usar: %d WC, %d HP, %d GP(Ruud)!"
838	      "Digite nuevamente el comando que desea usar!"
839	      "Otro usuario del guild está con el baúl abierto!"
840	      "Usted no tiene autorización para usar el baúl del guild!"
841	      "%s ha prohibido el personaje %s por %d dias!"
842	      "%s ha prohibido la cuenta del personaje %s por %d días!"
843	      "[AntiHack] Detectado el uso de SpeedHack!"
844	      "[Trade] Valor necesario: %d Zen!"
845	      "[Trade] Valor necesario: %d WC!"
846	      "[Trade] Valor necesario: %d HP!"
847	      "[Trade] Valor necesario: %d GP(Ruud)!"
848	      "[Trade] %s no tiene el valor necesario!"
849	  "[QUEST] Necesario %d WC para realizar!"
850	  "[QUEST] Necesario %d HP para realizar!"
851	  "[QUEST] Necesario %d GP(Ruud) para realizar!"
852       "[QUEST] Sin espacio en el inventario para recibir su premio!"
853       "[QUEST] El buff ya está activo, realice la búsqueda después!"
854       "[QUEST] Falta matar %d monstruos para concluir la mision!"
855       "[QUEST] Misión Concluida!"
856       "[QUEST] Usted no tiene la patente necesaria!"
857       "[QUEST] Necesario %d Kill(s) para continuar!"
858       "Sala principiante! Saliendo en %d segundo(s)"
859       "Usted no puede acceder a esta sala! Saliendo en %d segundo(s)"
860	  "[QUEST] Enhorabuena, ya has concluido la quest!"
861       "Usted está PK y no lo puede usar"
862       "El personaje es PK y no lo puede usar"
863       "[GvGEvent] comienza en %d minuto(s)"
