//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
38	167	167	1	508	3	0	1670	0	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	0	// Illusion Temple Ticket
38	217	217	1	508	3	0	2170	0	0	0	0	0	0	0	0	0	2170	0	0	0	0	0	0	0	0	0	// Blood Castle Ticket
38	218	218	1	508	3	0	2180	0	0	0	0	0	0	0	0	0	2180	0	0	0	0	0	0	0	0	0	// Devil Square Ticket
38	219	219	1	508	3	0	2190	0	0	0	0	0	0	0	0	0	2190	0	0	0	0	0	0	0	0	0	// Kalima Ticket
39	174	174	1	508	20	0	1740	0	0	0	0	0	0	0	0	0	1740	0	0	0	0	0	0	0	0	0	// 30-Day Pass
41	124	124	1	509	100	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Pet Panda
41	159	159	1	509	100	0	1590	0	0	0	0	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	0	// Pet Skeleton
42	199	199	1	509	350	0	1990	0	0	0	0	0	0	0	0	0	1990	0	0	0	0	0	0	0	0	0	// Wings of Elysium
42	209	209	1	509	350	0	2090	0	0	0	0	0	0	0	0	0	2090	0	0	0	0	0	0	0	0	0	// Wings of Flame God
42	210	210	1	509	350	0	2100	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0	0	0	0	0	// Wing of Celestial Body
42	211	211	1	509	350	0	2110	0	0	0	0	0	0	0	0	0	2110	0	0	0	0	0	0	0	0	0	// Wings of Annihilation
42	212	212	1	509	350	0	2120	0	0	0	0	0	0	0	0	0	2120	0	0	0	0	0	0	0	0	0	// Cloak of Dominator
42	213	213	1	509	350	0	2130	0	0	0	0	0	0	0	0	0	2130	0	0	0	0	0	0	0	0	0	// Wings of Other World
42	214	214	1	509	350	0	2140	0	0	0	0	0	0	0	0	0	2140	0	0	0	0	0	0	0	0	0	// Cloak of Judgment
43	160	160	1	509	100	0	1600	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	// Panda Ring
43	161	161	1	509	100	0	1610	0	0	0	0	0	0	0	0	0	1610	0	0	0	0	0	0	0	0	0	// Skeleton Transformation Ring
44	164	164	1	509	50	0	1640	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	// Scroll of Strength
44	165	165	1	509	50	0	1650	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	// Scroll of Battle
45	166	166	1	509	300	0	1660	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	0	0	0	0	0	// Seal of Ascension
45	173	173	1	509	350	0	1730	0	0	0	0	0	0	0	0	0	1730	0	0	0	0	0	0	0	0	0	// Seal of Wealth
61	111	111	1	0	500	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Seal of Ascension
61	119	119	1	0	700	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Seal of Wealth
61	120	120	1	0	500	0	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Party EXP Scroll
61	216	216	1	0	400	0	2160	0	0	0	0	0	0	0	0	0	2160	0	0	0	0	0	0	0	0	0	// Seal of Divinity
62	121	121	1	0	200	0	1210	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	// Pet Rudolf
62	126	126	1	0	300	0	1260	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	// Demon
62	127	127	1	0	300	0	1270	0	0	0	0	0	0	0	0	0	1270	0	0	0	0	0	0	0	0	0	// Spirit of Guardian
62	206	206	1	0	500	0	2060	0	0	0	0	0	0	0	0	0	2060	0	0	0	0	0	0	0	0	0	// Pet Panda
63	122	122	1	0	500	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Blood Castle Ticket
63	123	123	1	0	500	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Devil Square Ticket
63	125	125	1	0	500	0	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Kalima Ticket
63	168	168	1	0	500	0	1680	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	0	0	0	// Illusion Temple Ticket
64	128	128	1	0	20	0	1280	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	// Scroll of Healing
64	129	129	1	0	20	0	1290	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	0	0	// Scroll of Quickness
64	130	130	1	0	20	0	1300	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	// Scroll of Defense
64	131	131	1	0	20	0	1310	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	// Scroll of Wrath
64	132	132	1	0	20	0	1320	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	// Scroll of Wizardry
64	133	133	1	0	20	0	1330	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	// Scroll of Health
64	134	134	1	0	20	0	1340	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	// Scroll of Mana
64	135	135	1	0	20	0	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// Elixir of Strength
64	136	136	1	0	20	0	1360	0	0	0	0	0	0	0	0	0	1360	0	0	0	0	0	0	0	0	0	// Elixir of Agility
64	137	137	1	0	20	0	1370	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	// Elixir of Health
64	138	138	1	0	20	0	1380	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	// Elixir of Energy
64	139	139	1	0	20	0	1390	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	// Elixir of Control
64	140	140	1	0	70	0	1400	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	// Scroll of Battle
64	141	141	1	0	70	0	1410	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	// Scroll of Strength
64	142	142	1	0	20	0	1420	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	// Cherry Blossom Rice Cake
64	143	143	1	0	20	0	1430	0	0	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	// Cherry Blossom Flower Petal
64	144	144	1	0	20	0	1440	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	// Cherry Blossom Wine
65	147	147	1	0	300	0	1470	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	0	0	0	0	// Talisman of Luck
65	148	148	1	0	50	0	1480	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	// Talisman of Guardian
65	149	149	1	0	100	0	1490	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	// Talisman of Item Protection
65	150	150	1	0	500	0	1500	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	// Talisman of Chaos Assembly
66	207	207	1	0	500	0	2070	0	0	0	0	0	0	0	0	0	2070	0	0	0	0	0	0	0	0	0	// Panda Ring
66	208	208	1	0	500	0	2080	0	0	0	0	0	0	0	0	0	2080	0	0	0	0	0	0	0	0	0	// Skeleton Transformation Ring
67	189	189	1	0	400	0	1890	0	0	0	0	0	0	0	0	0	1890	0	0	0	0	0	0	0	0	0	// Silver Key
67	191	191	1	0	500	0	1910	0	0	0	0	0	0	0	0	0	1910	0	0	0	0	0	0	0	0	0	// Gold Key
end
